genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26
PLOD2	NA	NA	NA	NA	NA	NA	NA	NA	-0.928484934	-0.797041776	NA	NA	NA	NA	-0.946740023	NA	NA	NA	NA	NA	-1.248739886	NA	NA	2.413044586	NA	-4.157210192
MYO1F	NA	NA	NA	NA	0.946716544	NA	NA	NA	0.793984327	0.63517964	NA	NA	1.489672761	-1.704052341	NA	NA	NA	NA	NA	-2.611088031	NA	NA	NA	NA	NA	NA
RHOB	NA	NA	NA	NA	1.365980762	NA	NA	NA	1.658883092	1.741585736	0.761746919	NA	3.18771081	-2.317513676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PF4	NA	NA	2.040901333	NA	NA	NA	NA	NA	NA	-0.582756546	NA	NA	NA	-4.765190331	NA	-2.501930658	NA	NA	-4.793301453	NA	-2.232079551	NA	NA	NA	NA	NA
DOCK10	NA	NA	NA	NA	-1.703048054	NA	-0.801290389	-1.278756722	-0.978487949	-0.949350831	-0.758140075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JCHAIN	NA	NA	NA	NA	NA	NA	-2.138081	NA	NA	-1.54692212	NA	NA	NA	NA	NA	NA	2.9252247	NA	NA	NA	-1.59113321	NA	-4.757001534	NA	-3.183090791	NA
IL1RAP	NA	NA	NA	1.232666136	1.292592043	NA	NA	NA	0.900633949	0.803869567	NA	NA	1.925619787	NA	NA	NA	NA	NA	NA	NA	1.215836658	NA	NA	NA	NA	NA
KLF12	NA	NA	NA	0.941414432	-1.245532446	NA	NA	NA	-0.68235173	-0.531504379	NA	NA	NA	-1.813601246	NA	NA	NA	NA	-3.093877875	NA	NA	NA	NA	NA	NA	NA
EVI2A	NA	NA	1.145012056	NA	NA	NA	-0.905727694	NA	NA	0.559354755	NA	1.125231833	1.992858541	NA	NA	NA	NA	-0.440777361	NA	NA	NA	NA	NA	NA	NA	NA
TRIB2	NA	1.660164278	NA	NA	NA	NA	NA	0.601469074	NA	-0.840057149	NA	1.686836556	NA	NA	0.942279731	NA	NA	NA	NA	NA	-3.529774852	NA	NA	NA	NA	NA
TFPI	NA	1.068117722	NA	NA	NA	NA	-1.423392389	NA	0.495673031	0.615326432	NA	NA	NA	3.054343656	NA	NA	NA	NA	NA	5.045798	NA	NA	NA	NA	NA	NA
CTSS	NA	NA	NA	NA	NA	NA	-0.991407222	NA	NA	0.627098602	0.428037547	NA	NA	-2.198259443	NA	NA	NA	NA	NA	-2.724529531	NA	NA	NA	NA	-2.401823498	NA
GADD45B	NA	NA	NA	NA	NA	NA	NA	0.457982	1.113194367	0.798006898	0.71097265	NA	2.572534001	-3.157307094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC40A1	NA	NA	NA	NA	NA	NA	-1.113999889	NA	-0.809909969	-1.092902019	NA	NA	NA	NA	NA	NA	NA	NA	-3.534484969	NA	NA	NA	2.963382763	NA	-2.10578976	NA
CD99	NA	NA	NA	NA	0.897452957	NA	NA	NA	0.800418806	0.68112504	NA	NA	1.617066619	2.114601476	NA	NA	NA	NA	NA	NA	1.177621885	NA	NA	NA	NA	NA
GAS7	NA	NA	-1.077413333	NA	NA	NA	NA	NA	0.565948087	0.506339187	NA	1.149668278	NA	NA	NA	NA	NA	NA	NA	NA	1.41074631	NA	-2.244321959	NA	NA	NA
MAMDC2	NA	NA	NA	NA	2.637512978	NA	NA	NA	1.170846184	0.970718939	NA	NA	NA	4.092704721	NA	NA	NA	NA	NA	5.385300453	NA	NA	NA	5.028271039	NA	NA
C3AR1	NA	NA	NA	NA	NA	NA	-0.902718444	-0.514001593	0.809244102	0.823324514	NA	NA	3.021574358	NA	NA	NA	NA	NA	-3.738803594	NA	NA	NA	NA	NA	NA	NA
TYROBP	NA	NA	NA	NA	1.489518434	NA	NA	NA	1.239536265	0.694446175	NA	NA	NA	-2.260336594	NA	NA	NA	NA	NA	NA	2.164521007	NA	NA	NA	NA	4.456155689
NPR3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5698043	NA	NA	NA	2.883172021	NA	-2.331761339	NA	-1.375846111	NA	NA	NA	NA	NA	3.408476554	NA	-4.196331804
MYC	NA	-0.936768056	NA	NA	NA	NA	1.103232907	NA	NA	-0.592044752	NA	NA	NA	1.623043361	-0.900000618	NA	NA	NA	NA	NA	-1.671972464	NA	NA	NA	NA	NA
RASGRP1	NA	1.076353	NA	NA	NA	NA	NA	NA	NA	NA	-0.38930626	NA	NA	-2.596422273	NA	1.875559196	NA	NA	-2.273137344	NA	-2.444535806	NA	NA	NA	NA	NA
PCED1B	NA	1.025273056	NA	NA	NA	NA	NA	-0.469385806	NA	NA	-0.506054106	1.203712833	NA	-2.081396188	NA	NA	NA	NA	NA	NA	NA	NA	-2.18183446	NA	NA	NA
PMAIP1	NA	NA	NA	NA	0.953321006	NA	NA	NA	0.499092622	NA	0.479968281	NA	NA	NA	-1.332857889	2.344929577	NA	1.22617625	NA	NA	NA	NA	NA	NA	NA	NA
S100A8	NA	NA	NA	NA	NA	-4.174146838	-1.911498333	NA	NA	NA	0.840544973	-1.466015	NA	-2.299250633	NA	NA	NA	NA	NA	NA	NA	3.085580175	NA	NA	NA	NA
MMP25	NA	NA	NA	NA	NA	NA	-0.896392	NA	NA	NA	NA	2.664523278	NA	-1.863447349	NA	NA	NA	NA	-3.171405	-3.881124063	NA	3.039146266	NA	NA	NA	NA
MMP9	NA	1.3690625	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.706999444	NA	-4.961363919	NA	NA	NA	NA	-5.020123188	NA	NA	3.04508767	NA	NA	NA	9.376625353
WT1-AS	NA	1.189927444	NA	NA	1.243671585	NA	NA	NA	NA	NA	NA	2.179561667	NA	NA	NA	2.164056698	NA	NA	NA	4.469345453	NA	NA	NA	2.898430887	NA	NA
OSCAR	NA	NA	NA	NA	NA	NA	NA	0.438213946	NA	NA	NA	2.169798222	2.167804171	-1.853204097	NA	NA	NA	NA	NA	-2.580677469	NA	3.39845835	NA	NA	NA	NA
PFAS	NA	-1.604411833	NA	NA	-0.785879247	NA	NA	0.542096852	NA	NA	NA	-1.300953611	NA	NA	-0.513286979	NA	NA	NA	NA	NA	-1.285042668	NA	NA	NA	NA	NA
DUSP5	NA	1.674076167	NA	NA	1.792537228	NA	NA	NA	0.503358112	NA	NA	1.590781333	1.57522697	NA	-1.400714027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LIN7A	NA	NA	NA	0.961191402	NA	NA	NA	NA	NA	NA	NA	-1.829210556	NA	-2.287623043	NA	-3.177399096	NA	-0.846132222	NA	-3.159254781	NA	NA	NA	NA	NA	NA
FCAR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.494406389	NA	-4.012969314	NA	NA	NA	NA	-2.911158906	NA	-1.403094054	3.739438294	NA	NA	NA	4.773577287
CHI3L1	NA	NA	NA	NA	NA	NA	-0.962911889	NA	NA	NA	NA	-1.237107389	NA	-3.176052612	NA	NA	NA	-2.364644306	NA	NA	NA	NA	NA	NA	-3.63750605	8.409765119
SLPI	NA	NA	NA	-1.14828428	NA	NA	0.947476778	NA	NA	NA	NA	-1.2297935	NA	-3.46395339	NA	NA	NA	NA	NA	NA	NA	2.843779412	2.182906198	NA	NA	NA
CLEC4A	NA	NA	NA	NA	NA	NA	-1.882595778	NA	NA	NA	NA	1.226849056	NA	-3.508223441	NA	NA	NA	NA	-2.563120469	-3.05721975	NA	NA	NA	NA	NA	6.91909589
NAP1L3	NA	NA	1.122267139	NA	-1.452815639	NA	NA	NA	-0.616690531	NA	NA	NA	-6.327074728	NA	NA	NA	NA	NA	NA	NA	-1.686622285	NA	NA	NA	NA	-8.565410432
DSG2	NA	NA	NA	NA	-2.251095899	NA	NA	NA	-0.864846934	NA	NA	NA	-3.395039089	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.941489865	2.044514237	NA	-5.06648643
FGR	NA	NA	NA	NA	NA	NA	-1.011807056	NA	NA	NA	NA	NA	1.955953224	-3.246718305	NA	NA	NA	NA	NA	-2.947606313	NA	3.518101489	NA	NA	NA	4.508497098
LAPTM4B	NA	NA	NA	1.482941402	-1.586261844	NA	NA	NA	-1.15467252	NA	NA	NA	-1.776455444	NA	-0.776112815	NA	NA	NA	NA	NA	NA	NA	NA	2.85372985	NA	NA
CD14	NA	NA	NA	-1.490220265	NA	NA	-1.302376278	NA	NA	NA	NA	NA	3.403167468	-5.260481221	NA	NA	NA	NA	NA	-4.576415344	NA	NA	NA	NA	NA	9.107754212
FGL2	NA	NA	NA	NA	NA	NA	-0.7678135	NA	NA	NA	NA	NA	2.038054731	-2.918199637	NA	NA	NA	NA	NA	-3.040167	NA	NA	2.263785895	NA	-4.620887863	NA
AQP9	NA	NA	NA	NA	NA	NA	-1.021048167	NA	NA	NA	NA	NA	1.865656881	-6.101396859	NA	NA	NA	NA	NA	-4.469264969	NA	6.312290824	NA	NA	NA	9.073618149
CYBB	NA	NA	NA	NA	NA	NA	-1.649018375	NA	NA	NA	NA	NA	1.51435524	-4.086225591	NA	NA	NA	NA	NA	-2.514652875	NA	NA	-6.065611995	NA	NA	7.719254924
CD36	NA	NA	NA	NA	NA	NA	-2.077205081	-0.771973668	NA	NA	NA	NA	1.600659824	-1.731648317	NA	NA	NA	NA	NA	NA	NA	3.834051235	3.488221691	NA	NA	NA
ADAM19	NA	NA	-1.091827111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.416407912	-2.524034462	NA	NA	0.868814444	NA	-3.670650844	-1.113553739	NA	NA	NA	NA	NA
FPR2	NA	NA	NA	NA	NA	NA	-1.098093672	NA	NA	NA	NA	NA	NA	-4.337695374	NA	NA	NA	NA	-4.676213609	-5.498424031	-1.322372666	3.253781356	NA	NA	NA	NA
LCN2	NA	NA	NA	NA	NA	NA	-1.059921833	2.042237306	NA	NA	NA	NA	NA	-3.394695855	NA	NA	NA	NA	-6.967067391	-4.135555813	NA	NA	NA	-2.03980011	NA	NA
KCNJ2	NA	NA	NA	NA	NA	NA	-0.831661122	NA	NA	NA	NA	NA	NA	-1.657064892	NA	-2.679632667	NA	-1.445685	NA	NA	NA	NA	NA	NA	-2.139894586	5.145560433
SGK1	NA	NA	NA	NA	NA	NA	-0.992947256	NA	NA	NA	NA	NA	NA	-3.213896639	-0.928184056	NA	NA	NA	NA	-2.590105781	NA	NA	-2.220709609	NA	NA	6.14926826
CLEC4E	NA	NA	NA	NA	NA	NA	-1.374906167	NA	NA	NA	NA	NA	NA	-5.075224182	NA	NA	1.669542894	NA	NA	-5.363311906	NA	3.052387776	NA	NA	NA	9.156890827
PLBD1	NA	NA	NA	NA	NA	NA	-1.939388472	NA	NA	NA	NA	NA	NA	-6.336253055	NA	-2.453313781	NA	-0.462203194	NA	-3.468724938	-2.123956331	NA	NA	NA	NA	NA
ZFP36	NA	0.8902455	NA	NA	NA	NA	-0.875819444	NA	0.498835648	NA	NA	NA	NA	-3.74790968	-1.120466865	NA	NA	NA	NA	-2.817453375	NA	NA	NA	NA	NA	NA
DUSP1	NA	NA	NA	NA	NA	NA	-1.258234111	NA	NA	NA	NA	NA	NA	-2.573236424	-1.219812735	NA	NA	NA	NA	-3.594924563	NA	-3.73442254	NA	NA	NA	4.580177438
ANXA3	NA	1.118030833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.04611648	NA	1.881639884	NA	NA	-4.682544094	NA	-1.131420834	5.804053061	NA	NA	NA	NA
GPR141	NA	NA	NA	NA	NA	1.663879444	-0.882126056	NA	NA	NA	NA	NA	NA	-1.904814961	NA	NA	NA	NA	-2.997558906	-2.535439047	NA	4.201965786	NA	NA	NA	NA
CYTIP	NA	1.565326611	NA	NA	NA	-0.975107778	-1.995202167	NA	0.489186423	NA	NA	NA	NA	-1.836175494	NA	NA	NA	NA	NA	-2.49147375	NA	NA	NA	NA	NA	NA
CD24	NA	NA	NA	NA	-2.272562582	-1.186517879	NA	NA	NA	NA	NA	NA	NA	-2.193126242	NA	NA	NA	NA	-5.068837688	NA	-1.667481958	4.857268351	NA	NA	NA	NA
CCL3	NA	3.731612667	NA	NA	NA	NA	-2.382781694	NA	0.411656903	NA	NA	NA	NA	-2.594515899	NA	NA	NA	NA	NA	NA	NA	-3.404917287	NA	NA	NA	10.0672193
RGS1	NA	3.134158889	NA	NA	NA	-1.502596333	-2.292082556	NA	NA	NA	NA	NA	NA	-1.65531035	NA	NA	NA	NA	NA	NA	NA	-2.931948855	NA	NA	NA	6.75758574
WT1	NA	0.9426275	NA	NA	1.005952768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.770325504	NA	NA	NA	2.751399063	2.419092053	NA	NA	6.019080701	NA	NA
HLA-DQA1	NA	NA	NA	0.97395517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.881979108	-5.442719715	-1.486948889	NA	NA	-1.905128021	-4.232461671	NA	NA	NA	NA
TMEM176B	NA	NA	NA	NA	NA	3.263208333	-1.570119444	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.467742381	NA	NA	-3.134783125	1.895399773	NA	NA	NA	NA	7.122915936
FGFR2	NA	NA	NA	-1.423807576	NA	1.136876111	NA	0.990871019	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.198481389	NA	NA	NA	-5.660102696	-2.30896768	NA	NA	NA
IL1R2	NA	NA	0.860961056	NA	NA	NA	-2.226817472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.677649594	-8.246434219	NA	6.559021778	NA	NA	NA	6.090545704
CD80	NA	NA	NA	NA	NA	NA	-1.514988167	-0.443985602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.138292466	2.430835247	2.290798104	NA	4.665063756
IBSP	NA	NA	1.755722278	NA	NA	2.113257778	-1.038126028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.42356641	-2.561573011	3.566670694	NA	NA
DPPA4	-4.844591111	NA	NA	NA	-1.353385072	NA	NA	NA	-1.359465398	-0.981034589	NA	NA	-4.000462375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RHAG	3.741207278	NA	NA	NA	NA	NA	-0.913804396	NA	NA	-0.924479204	NA	NA	NA	NA	NA	NA	NA	NA	-3.672298359	NA	-3.424776889	NA	NA	NA	NA	NA
ALDH1A1	-3.282599556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.613318836	NA	NA	-3.841352579	NA	NA	NA	NA	-3.986392831	NA	NA	NA	NA	-4.092004001
KLRB1	5.097343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.97111885	NA	NA	NA	NA	-3.630956813	-2.460543188	-2.064908809	NA	NA	NA	NA	NA
SMAD6	3.100054833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.777125338	NA	NA	-0.53808	3.86439175	2.482406688	NA	NA	NA	NA	NA	NA
NKG7	2.654301611	NA	NA	NA	NA	-1.724883148	NA	NA	1.200928097	NA	NA	NA	1.756276195	NA	NA	NA	NA	NA	NA	NA	NA	3.991510781	NA	NA	NA	NA
TNFSF13B	3.115646056	-0.985116944	NA	NA	NA	NA	-0.745130385	NA	NA	NA	NA	-2.168011833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.073009236	NA	NA	NA
SPINK2	-3.6446655	-1.488609111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.988859219	1.564144307	NA	NA	3.040008741	NA	NA
SELL	-2.997916333	-1.041716444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.056486034	NA	-2.386987867	NA	NA	NA	NA	-1.184892247	NA	NA	NA	NA	NA
CRHBP	-3.941398222	NA	NA	NA	-3.76204316	NA	NA	NA	-1.924868286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.080729988	NA	NA	NA	NA	-5.035434187
PADI4	3.169603389	-0.981277278	NA	NA	NA	-1.787738889	NA	NA	NA	NA	NA	NA	NA	-3.994736073	NA	NA	NA	NA	NA	NA	NA	3.603645763	NA	NA	NA	NA
CENPA	2.792446111	NA	-3.095821389	NA	NA	NA	NA	NA	NA	NA	NA	-1.205415833	-1.931879384	NA	NA	NA	NA	NA	NA	NA	-1.899645574	NA	NA	NA	NA	NA
EPB41L3	-1.579154889	NA	-3.694459889	NA	-1.482700358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.348185844	NA	NA	NA	NA	-4.196449355	NA
S100Z	2.028525556	NA	NA	NA	1.123576265	NA	NA	NA	NA	0.806538062	NA	NA	2.242012175	NA	NA	NA	NA	NA	NA	NA	NA	4.234697339	NA	NA	NA	NA
CD86	1.683223722	NA	NA	NA	NA	NA	-2.293346611	NA	NA	NA	NA	NA	2.430562205	-2.099221948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.645275346
SNCA	-3.517617444	NA	NA	NA	NA	-1.077026667	NA	NA	NA	NA	0.422970377	NA	NA	NA	NA	NA	NA	NA	-2.494099688	NA	-2.552850398	NA	NA	NA	NA	NA
IFITM3	-3.4550695	NA	NA	NA	NA	-1.902230139	-1.880422389	NA	NA	NA	NA	NA	NA	NA	0.762654399	NA	NA	NA	NA	-3.681476719	NA	NA	NA	NA	NA	NA
PBX3	-2.365800556	NA	NA	NA	NA	NA	1.359545889	NA	NA	NA	NA	NA	NA	NA	0.49062488	NA	NA	NA	NA	2.506886188	1.907584403	NA	NA	NA	NA	NA
CFH	2.017742556	NA	NA	NA	-1.276100229	NA	NA	NA	NA	NA	NA	NA	-1.945611088	NA	NA	-2.498483242	NA	NA	NA	3.72010975	NA	NA	NA	NA	NA	NA
CPA3	-3.403487056	-1.035096944	NA	NA	NA	NA	NA	NA	NA	-1.170206468	NA	NA	NA	4.116278821	NA	NA	NA	NA	NA	4.957134656	NA	NA	NA	NA	NA	NA
EMP3	-2.064579667	1.063912278	NA	NA	NA	NA	NA	NA	1.432723061	NA	NA	NA	1.586145596	NA	0.697600177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANTXR2	-2.26473	0.916576444	NA	NA	NA	NA	-1.896013167	NA	0.685393628	0.777536947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEPDC1B	1.786390722	NA	-0.881456444	NA	NA	NA	NA	NA	-0.450348173	-0.785432472	NA	NA	-2.500241914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2RL1	-2.061572333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.227358344	-4.992470281	NA	NA	-4.627293158	NA	NA	-4.553204063
CLC	-2.238532889	-2.097166278	NA	NA	NA	NA	NA	NA	NA	-2.304212423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.303395783	NA	NA	NA	NA	-6.673045437
FBLN1	-2.003771667	-0.956869556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.026508333	2.139822031	NA	NA	NA	2.464072251	NA	NA	NA
SYTL3	1.508962444	1.365377667	NA	NA	NA	NA	-1.835321611	NA	NA	NA	NA	NA	NA	-1.703257489	NA	NA	NA	NA	NA	-2.850448516	NA	NA	NA	NA	NA	NA
CD70	2.246008	1.876565278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.412126041	-3.603781841	3.921919808
PHGDH	-2.189085111	NA	-1.054335583	-1.077264659	NA	NA	NA	0.451802778	NA	NA	NA	2.121603583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FCER1A	-2.507343389	-1.2617325	NA	NA	NA	NA	-2.539669684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.387753719	-2.302545272	NA	NA	NA	NA	NA
FHL2	-1.642559833	NA	NA	NA	NA	1.1223475	NA	NA	NA	NA	NA	NA	-3.016475402	NA	NA	-1.938062008	NA	NA	NA	NA	-3.37104351	NA	NA	NA	NA	NA
TNF	1.086269111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.907712251	NA	NA	NA	NA	NA	NA	1.469458916	-3.91657867	NA	NA	NA	5.074464668
KIF15	1.235452667	NA	-1.8215035	NA	NA	NA	NA	NA	NA	-0.594957569	NA	NA	-2.545140796	NA	NA	NA	NA	NA	NA	NA	-2.513775105	NA	NA	NA	NA	NA
DLGAP5	2.004945778	NA	-3.277532139	NA	NA	NA	NA	NA	NA	-0.661402157	NA	-1.1247905	NA	NA	NA	NA	NA	NA	NA	NA	-3.505395356	NA	NA	NA	NA	NA
DDIT4	-2.462183111	2.657211	NA	NA	NA	NA	NA	NA	0.528559561	0.578677857	NA	2.582476389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CKAP2L	2.316946833	-1.052308778	-1.704822333	NA	-1.228593525	NA	NA	NA	NA	NA	NA	NA	-1.505594215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OAS2	-2.147906944	NA	NA	NA	NA	NA	NA	NA	-0.779325301	NA	-0.67646206	NA	NA	-1.801636721	NA	NA	NA	-0.773060694	NA	NA	NA	NA	NA	NA	NA	NA
CORO1A	1.370752111	NA	NA	NA	NA	NA	NA	NA	0.605888051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.478991594	NA	3.00785045	-3.962425877	NA	NA	NA
LMNB1	-1.533892667	-1.513027333	-0.853040528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.985406344	-1.364720255	NA	NA	NA	NA	NA
IL18R1	-1.243413667	1.913466167	NA	NA	NA	NA	-0.793076648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.951332625	-3.352945938	NA	NA	NA	NA	NA	NA
UCHL1	-1.471872444	NA	NA	0.985458106	NA	-1.7957225	NA	NA	-1.24016251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.641635539	NA	NA
CMTM8	-1.109595222	NA	NA	NA	-0.753158703	NA	NA	NA	NA	NA	NA	1.292283944	-2.172635577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.432167095
PRDM8	-1.617126611	NA	NA	NA	0.823461306	NA	NA	NA	0.511412531	0.653985837	NA	1.381546389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC27	-1.517832944	NA	NA	NA	-0.790229402	NA	NA	NA	NA	-0.49769632	NA	NA	NA	1.678089071	NA	NA	NA	NA	NA	2.844908844	NA	NA	NA	NA	NA	NA
FYN	-1.578995611	1.120598889	0.970129278	NA	NA	NA	NA	NA	NA	NA	NA	2.320590667	NA	-1.66692779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	-1.635804278	NA	NA	NA	1.229312373	NA	NA	NA	-0.628890189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.08214738	NA	-3.906979644
ASPM	2.374434056	NA	-3.374435556	NA	NA	NA	NA	NA	-0.504371505	-0.943652743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.161719046	NA	NA	NA	NA	NA
PRF1	1.748685778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.110093722	NA	-2.429912923	NA	NA	NA	NA	-3.298294328	-2.923258297	NA	NA	NA	NA	NA	NA
RNF150	-1.669324722	NA	NA	NA	-0.996511418	NA	NA	NA	-0.462135245	NA	NA	NA	-1.955146475	NA	NA	NA	NA	-0.435829028	NA	NA	NA	NA	NA	NA	NA	NA
EGR1	-2.835237111	-1.625634278	NA	NA	1.639018425	NA	NA	NA	0.85570925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.090146102	NA	NA	NA	NA
NKD2	1.633592667	NA	-2.225905889	NA	NA	NA	NA	0.653144143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.606590781	NA	NA	NA	NA	NA	4.500053756
MFAP4	-1.514878389	0.938641222	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.708805833	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.988477914	NA	3.040715139	NA	NA
ETS1	-1.107093667	NA	NA	NA	NA	NA	-0.934160889	NA	NA	NA	NA	NA	NA	-2.465941691	NA	NA	NA	NA	-3.75489875	-2.958788969	NA	NA	NA	NA	NA	NA
NCAPG	1.326159778	-1.098222722	-1.201524389	NA	NA	NA	NA	NA	NA	-0.957750001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.533337869	NA	NA	NA	NA	NA
RPL39L	-1.103244	NA	-0.833457111	NA	-1.498467611	NA	NA	NA	NA	-0.615426243	NA	NA	-1.783836304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIF11	1.263267333	NA	-2.580079333	NA	NA	NA	NA	NA	NA	-0.615061356	NA	NA	-2.116898146	NA	NA	NA	NA	NA	NA	NA	-2.636462369	NA	NA	NA	NA	NA
COTL1	1.353193111	NA	NA	NA	0.865479524	NA	NA	NA	0.597500408	NA	NA	NA	NA	-2.826742353	NA	NA	NA	NA	NA	-2.666667375	NA	NA	NA	NA	NA	NA
HMMR	1.350788611	-0.876002722	-2.463107611	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.22881541	NA	NA	NA	NA	NA	NA	NA	-2.612045237	NA	NA	NA	NA	NA
CENPF	1.852515	NA	-2.331873111	NA	NA	NA	NA	NA	-0.410194367	-0.789230212	NA	NA	-2.19297072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBA2	-4.675070556	NA	NA	NA	NA	-2.150277222	-0.813749278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.109767094	NA	-5.068105576	NA	NA	NA	NA	NA
AURKB	1.298936778	-1.087779611	-2.008467778	NA	NA	NA	NA	NA	NA	NA	NA	-1.0865305	NA	NA	NA	NA	NA	NA	NA	NA	-2.173359411	NA	NA	NA	NA	NA
DNTT	-1.484226444	NA	NA	NA	NA	NA	NA	NA	NA	-1.604223232	NA	NA	-2.376503228	NA	NA	NA	NA	NA	NA	NA	-2.19446856	NA	NA	NA	NA	-6.878453472
FOXM1	NA	NA	-2.337790833	NA	NA	-2.380914722	NA	NA	NA	-0.597922156	NA	NA	-2.521747658	NA	NA	NA	NA	NA	NA	NA	-1.725439123	NA	NA	NA	NA	NA
NFIA	NA	NA	NA	NA	-1.520372869	NA	NA	NA	-0.867674301	-1.1216911	NA	NA	-3.503042568	NA	NA	NA	NA	NA	-3.009464	NA	NA	NA	NA	NA	NA	NA
STRADB	NA	NA	NA	NA	NA	NA	NA	NA	-0.411681923	-0.879558665	-0.376390814	NA	NA	NA	NA	NA	NA	NA	-3.087984594	NA	NA	NA	NA	2.091884849	NA	NA
UTP20	NA	NA	NA	1.551224924	NA	NA	NA	NA	-0.600778837	-0.689462895	-0.344691193	-1.672214444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNU4ATAC	NA	NA	NA	NA	NA	NA	NA	NA	0.654701531	1.063636008	0.561865761	NA	NA	NA	NA	NA	NA	NA	NA	-2.758342844	NA	-5.06310673	NA	NA	NA	NA
